Episode,Company ,Idea,Industry,Social Benefit,Tech or not,Deal ,Number of presenters,No of male presenters,No of female presenters,Ask_Amount (INR Lakhs),Ask_Equity,Ask_Valuation (INR Lakhs),Number of Sharks invested,Amount per Shark ,Equity per Shark,Reject_Offer,Receive_Offer,Deal_Amount (INR Lakhs),Deal_Equity,Deal_Valuation ,AshneerGrover_present,AnupamMittal_present,AmanGupta_present,NamitaThapar_present,VineetaSingh_present,PeyushBansal_present,GhazalAlagh_present,AshneerGrover_deal,AnupamMittal_deal,AmanGupta_deal,NamitaThapar_deal,VineetaSingh_deal,PeyushBansal_deal,GhazalAlagh_deal,Season
22,Hair Originals,Natural Hair Extensions,Personal care,0,0,1,3,3,0,60,2,3000,3,20,1.333333333,0,1,60,4,1500,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1
22,Poo de Cologne,Toilet Spray with Essential Oils,Home utility,0,0,0,1,0,1,75,5,1500,0,0,0,NA,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
22,Moonshine Meads,Meads,Food and Bevs,0,0,0,2,2,0,80,5,1600,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
22,Falhari,Fresh Fruits,Food and Bevs,0,0,0,3,3,0,50,2,2500,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
23,Namhya Foods,Ayurvedic Enriched Food,Food and Bevs,1,0,1,1,0,1,100,5,2000,1,50,10,0,1,50,10,500,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1
23,Urban Monkey,Streetwear,Clothing,0,0,0,1,1,0,100,1,10000,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
23,Guardian Gears,Motorcycle Luggage,Transportation,0,0,0,2,1,1,30,5,600,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
23,Modern Myth,Bags,Clothing,0,0,0,2,1,1,75,5,1500,0,0,0,NA,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
24,The Sass Bar,Gifts,Hospitality,0,0,1,1,0,1,40,8,500,2,25,17.5,0,1,50,35,142.86,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1
24,KG Agrotech,Agricultural Innovations,Industrial,1,0,1,2,2,0,30,10,300,1,10,40,0,1,10,40,25,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1
24,Nuskha Kitchen,Homemade Foods,Food and Bevs,0,0,0,2,1,1,20,10,200,0,0,0,NA,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
25,PawsIndia,Dog Products,Petcare,0,0,1,1,0,1,50,4,1250,1,50,15,0,1,50,15,333.33,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1
25,Sunfox Technologies,Portable ECG Device,Healthcare,1,1,1,4,4,0,100,2,5000,5,20,1.2,0,1,100,6,1666.67,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1
25,Alpino,Roasted Peanut Products,Food and Bevs,0,0,0,4,4,0,150,2,7500,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
26,Isak Fragrances,Perfumes,Personal care,0,0,1,1,0,1,50,8,625,1,50,50,0,1,50,50,100,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1
26,Julaa Automation,Automatic Cradle,Home utility,0,1,0,3,3,0,50,10,500,0,0,0,NA,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
26,Rare Planet,Handicrafts,Home utility,0,0,1,2,2,0,65,1,6500,1,65,3,0,1,65,3,2166.67,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1
27,Theka Coffee,Coffee Products,Food and Bevs,0,0,0,1,1,0,50,10,500,0,0,0,NA,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
27,Watt Technovations,Ventilated PPE Kits,Healthcare,1,0,1,1,1,0,0.00101,10,0.01,4,0.0002525,1,0,1,0.00101,4,0.03,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1
27,Aliste Technologies,Automation Solutions,Technology,0,1,0,6,6,0,60,5,1200,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
27,Insurance Samadhan,Insurance Solutions,Finance Personal,0,0,1,3,2,1,100,1,10000,1,100,4,0,1,100,4,2500,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1
28,Humpy A2,Organic Milk Products,Food and Bevs,1,0,1,3,2,1,75,4,1875,3,33.33333333,5,0,1,100,15,666.67,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1
28,Kunafa World,Kunafa,Hospitality,0,0,0,2,1,1,90,5,1800,0,0,0,NA,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
28,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,Home utility,1,0,1,2,2,0,50,5,1000,3,16.66666667,10,0,1,50,30,166.67,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1
29,Wakao Foods,Jackfruit Products,Food and Bevs,1,0,1,1,1,0,75,5,1500,3,25,7,0,1,75,21,357.14,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1
29,PDD Falcon,Stainless Steel Items,Home utility,0,0,0,2,1,1,75,3,2500,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
29,PlayBox TV,Streaming Platform,Entertainment,0,1,0,2,2,0,100,3.5,2857.14,0,0,0,NA,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
30,Sippline Drinking Shields,Portable Glass Attachment,Healthcare,1,0,0,1,1,0,75,15,500,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
30,Kabaddi Adda,All-Kabaddi App,Entertainment,1,1,1,2,2,0,80,1,8000,2,40,3,0,1,80,6,1333.33,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1
30,Shades of Spring,Flowers,Home utility,0,0,0,2,1,1,300,1,30000,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
30,Scholify,Scholarship Platform,Education,1,1,0,1,1,0,50,7.5,666.67,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
31,Scrapshala,Handmade Reusable Scrap Materials,Home utility,1,0,0,2,0,2,50,10,500,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
31,Sabjikothi,Vegetables Storage,Home utility,0,0,0,2,1,1,60,2.5,2400,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
31,AyuRythm,Ayurvedic Wellness App,Healthcare,1,0,1,3,3,0,75,2,3750,1,75,2.68,0,1,75,2.68,2798.51,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
31,Astrix,Smart Locks,Home utility,0,1,0,2,1,1,75,3,2500,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
32,Thea and Sid,Proposal Solutions,Hospitality,0,0,0,2,0,2,80,7,1142.86,0,0,0,NA,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
32,Experential Etc,Technology layered Advertisement Services,Marketing,0,1,0,2,2,0,200,4,5000,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
32,GrowFitter,Rewards App,Technology,0,1,1,2,2,0,50,1,5000,1,50,2,0,1,50,2,2500,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
32,Med Tech,Portable opthalmic devices,Healthcare,1,1,0,2,1,1,35,6,583.33,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
33,Colour Me Mad,Insoles,Clothing,0,0,1,2,1,1,40,10,400,1,40,25,0,1,40,25,160,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1
33,Mavi's,Vegan Fermented Food,Food and Bevs,1,0,0,2,1,1,40,5,800,0,0,0,NA,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
33,Tweek Labs,Sportswear,Clothing,0,0,1,4,4,0,40,2,2000,3,20,3.333333333,0,1,60,10,600,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1
