Series or Movie,IMDb Score,Rotten Tomatoes Score,Awards Received,Awards Nominated For,Boxoffice,Hidden Gem Score
Movie,5.5,13,0,0,11528613,5.7
Series,6.6,27,1,2,34105207,2.3
Movie,5.9,40,2,10,110359362,2.5
Movie,6.6,77,2,12,206305244,3.4
Movie,3.3,27,1,7,3793614,1.7
Movie,7.1,90,0,1,36527,7.9
Movie,6.8,98,3,9,375391,7.5
Movie,6.7,44,1,11,51872378,2.7
Movie,7.2,50,17,14,199228,2.5
Movie,5.6,37,3,17,131921738,2.3
Movie,7.7,81,21,15,124872350,3.8
Movie,6.2,49,0,0,36895,2.6
Movie,7.3,86,8,47,328828874,3.8
Series,7,84,7,15,166244045,3.8
Movie,7.5,96,0,2,910015,4.1
Movie,5.5,68,0,3,305136,6
Movie,5.7,76,0,5,9318,3.3
Movie,7,84,12,10,3956031,3.6
Movie,7.7,77,5,20,1304042,3.7
Movie,4.5,7,0,1,4842259,3.5
Movie,6.9,93,3,2,15152,8.6
Movie,6.4,20,0,0,46382,5.9
Movie,7.5,100,15,5,8345266,4.3
Movie,7.5,94,1,2,1581681,8.4
Movie,5.5,56,1,7,3502600,2.8
Movie,5.3,30,1,0,10854,3.1
Series,6.5,52,26,69,474544677,2.8
Movie,6.3,37,1,0,1315498,2.6
Movie,6,24,1,0,169710,6.1
Movie,6.2,86,5,10,765561,3.6
Series,7.8,69,3,9,15322921,3.4
Movie,6.8,80,0,1,44745,3.6
Movie,6.3,28,0,0,14815317,2.3
Movie,7.1,73,6,15,68723,3.6
Movie,5.1,72,2,5,8297,4.1
Movie,7.3,93,34,23,576608,6.3
Movie,7.8,95,74,205,108101214,4.4
Movie,6.2,63,11,19,71628180,3
Movie,6.7,58,1,1,14182492,2.9
Movie,6.6,62,0,1,300460,3.1
Movie,7,88,25,86,7751969,4
Series,6.8,29,7,22,119654823,2.5
Series,5.8,67,2,1,9685976,5.4
Movie,7.2,92,6,3,33312,8.7
Movie,5.9,67,1,13,70334258,2.9
Movie,6.9,72,3,31,143619809,3.4
Movie,8,100,30,13,67986,8.4
Movie,5.3,1,1,0,25198598,1.3
Movie,6,76,1,4,2716368,3.3
Movie,5.7,34,0,1,95318203,2.1
Movie,7.8,95,6,5,148666,8.6
Movie,7.1,78,2,2,2087228,4.6
Movie,5.9,74,1,4,2005142,3.1
Movie,6.8,93,0,2,16080,7.9
Series,7,67,0,10,122094,7.5
Movie,7.7,89,19,14,54766923,4.2
Movie,7,72,4,19,90380162,3.4
Movie,5.1,10,0,0,23086480,1.4
Movie,7.3,81,48,30,158549,3.6
Movie,4.3,25,0,0,42603,5.9
Series,7.3,86,8,47,328828874,3.8
Movie,6.6,71,1,8,320314960,3.2
Movie,6.1,59,2,2,83015089,3
Movie,6.8,64,1,15,73286650,3.1
Movie,6.2,77,4,5,68947075,3.3
Movie,6.3,24,0,0,5332621,2.1
Movie,6.4,70,2,3,43756,7.3
Movie,7.1,78,2,4,48752,7.7
Movie,7.5,100,0,0,5063,8.3
Movie,7.6,70,86,175,148809770,3.5
Movie,7,84,7,24,191719337,3.8
Movie,7.6,96,1,0,72078,7.2
Movie,8.5,93,36,33,205881154,4.2
Movie,5.2,23,1,2,17687709,1.7
Movie,8.5,93,36,33,205881154,4.2
Movie,8.2,98,61,95,415004880,4.5
Movie,7,81,11,70,127004179,3.7
Movie,6.6,33,0,1,7743794,2.3
Movie,6.6,67,1,3,1828784,5.6
Movie,5.6,55,1,5,45896028,2.7
Movie,7.3,92,17,51,4515719,4.1
Movie,7,70,10,22,238679850,3.3
Movie,6.7,80,2,7,83140306,3.5
Movie,6.7,84,0,5,2410914,3.6
Movie,6.7,41,0,1,56846802,2.6
Movie,5.4,26,0,0,291477,5.1
Movie,5.2,75,2,3,6024,6.6
Movie,7.2,78,1,11,2223961,3.8
Movie,7.2,78,1,11,2223961,3.8
Movie,7.2,78,1,11,2223961,3.8
Series,7.3,79,2,4,17185632,3.5
Movie,5.2,49,0,4,703438,6.5
Movie,7.3,86,1,0,85840,7.4
Movie,7.2,90,11,16,1163056,4
Movie,6.5,62,5,25,211593228,3.1
Movie,6.9,64,5,21,113502426,3.2
Series,7.6,89,0,0,6461,4.1
Movie,7,90,5,34,812794,4
Movie,7.7,98,8,11,3168978,8.4
Movie,5.5,24,0,1,12180032,1.9
Movie,5.8,25,0,3,15738769,2.1
Movie,6.8,50,0,0,83891,7
Movie,7.5,100,4,0,8144,6.7
Movie,6.4,43,2,8,250863268,2.6
Movie,6.5,52,26,69,474544677,2.8
Movie,7.5,88,20,23,3695533,5.7
Series,7.1,94,34,105,4563650,4.1
Movie,6.9,83,1,0,475611,5.8
Movie,6.3,67,3,1,15790,8.2
Movie,6.9,92,29,64,406473,4
Movie,7.3,100,1,7,289573,8.1
Movie,6.4,54,5,9,182811707,2.7
Movie,6.6,67,0,7,30234022,3.1
Movie,7.9,98,74,57,2122065,4.3
Movie,8.5,99,69,45,43796,5
Movie,6.2,60,0,0,44917151,6
Movie,6,19,0,1,6546159,2
Movie,6.4,49,2,2,705308,2.8
Movie,6.8,68,10,27,58203105,3.4
Movie,6.7,76,0,1,37285,7.3
Movie,6.6,60,4,4,50722,4.2
Movie,7.9,97,5,0,64636,4.4
Movie,8.5,98,3,0,19181,4.7
Movie,8.1,83,5,5,351447,4
Movie,4.8,0,0,0,12350,5.4
Movie,6,32,0,0,70978012,2.1
Movie,6.8,96,9,20,1146292,8.7
Movie,4,0,0,0,18369,4.5
Movie,7.3,76,6,1,7294,3.4
Movie,5.5,62,0,0,29491,7
Movie,7.3,87,0,0,509,6.6
Movie,8.1,100,10,7,509,4.5
Movie,7.7,96,5,7,509,4.3
Movie,7.5,90,0,1,21124,4.1
Movie,7.3,85,2,6,509,5.3
Movie,7.5,89,1,1,509,5.6
Movie,7.4,86,13,7,3007945,4
Movie,7.2,81,0,4,509,3.8
Movie,7.1,58,1,1,509,5.1
Movie,7.2,78,0,3,509,5.8
Movie,6.4,52,1,2,22055313,2.8
Movie,6.6,86,3,4,260136,6.9
Movie,7.7,78,2,1,43171,6
Movie,6.7,68,0,4,73123082,3.2
Movie,5.9,52,0,2,4950029,4.6
Movie,4.8,18,0,0,1115008,4.8
Movie,6.9,20,0,2,1238,6.4
Movie,5.5,46,3,6,40860481,2.5
Movie,5.4,72,1,5,200340,6
Movie,6.8,50,2,3,33545,6
Series,7.1,72,3,25,270448425,3.4
Movie,6.4,90,4,0,226421,6.5
Movie,7.1,57,24,87,3827466,3.2
Movie,6,56,0,1,14545844,4.5
Movie,5.9,48,0,7,17432844,2.5
Movie,6.5,87,3,10,1243910,3.8
Movie,4.6,45,0,2,345091,4.8
Movie,6.5,87,3,10,1243910,3.8
Movie,6.1,59,1,4,2000105,3
Movie,6.6,84,7,16,21202829,3.5
Movie,6.6,83,0,5,3444895,3.6
Movie,6.2,72,1,3,1200481,6.5
Movie,7.7,91,4,18,561085,4
Movie,7.9,94,0,0,498156,4.1
Movie,4.9,28,3,16,31184024,3.1
Movie,7.3,85,3,1,372405,3.9
Movie,8.2,87,14,20,5576743,4.2
Movie,4.7,31,0,4,402539,6.7
Movie,7.4,79,6,11,1002895,3.7
Movie,6.1,58,1,3,9660,2.5
Movie,5,45,0,0,22260900,2.3
Movie,7.4,74,3,1,590671,8.1
Movie,5.9,65,0,3,74152591,2.9
Movie,6.4,38,0,1,69030436,2.5
Movie,6.7,53,2,2,34746945,5.4
Movie,5.8,35,1,0,36105433,2.2
Movie,6.4,98,15,7,164346,5
Movie,6.9,95,6,9,5043620,4
Movie,5.4,42,2,0,252410,6.2
Movie,5.3,59,1,5,159218,6.4
Movie,7.5,100,1,1,204238,6.9
Movie,7.7,93,5,0,43839,5.7
Movie,7.6,85,139,355,142502728,4.1
Movie,6.7,88,9,13,276591,3.6
Movie,7.9,93,30,14,80301,4.3
Movie,6.6,77,7,8,5677,7.6
Movie,5.8,56,1,7,11710,7.6
Movie,7.8,91,4,11,32570685,4
Movie,8,80,3,3,558598,4
Movie,8.2,99,55,42,9039891,4.5
Movie,7.6,76,9,25,9651611,3.6
Movie,6.8,88,21,51,1129408,3.9
Movie,7.5,100,0,1,14879,8.4
Movie,8.1,89,3,1,495770,4.3
Series,6.8,87,1,14,81562942,3.7
Movie,6,42,6,13,110500138,2.5
Movie,6.4,73,1,3,41667116,3.3
Series,7.1,67,0,3,7320323,4.9
Movie,6.7,83,2,2,2032018,5.2
Movie,6.3,45,0,0,1574258,4.6
Movie,6.3,79,1,1,7856,5.7
Movie,6.5,80,1,9,15499454,3.6
Movie,6.6,68,0,8,144105346,3.1
Movie,6.7,91,5,13,6980524,3.9
Movie,3.8,16,0,1,17857020,4.3
Movie,6.6,45,3,8,46874505,2.7
Movie,5,27,1,1,20150241,4
Series,8,92,7,10,1156554,6.4
Movie,6.1,64,0,3,722669,7.7
Movie,7.7,95,3,0,443059,4.2
Movie,7.6,88,1,8,453243,4.2
Movie,6.7,88,0,0,87738,3.8
Movie,8,96,1,0,523664,4.2
Movie,7.4,92,22,81,50023780,4.3
Movie,5.8,50,1,3,496172,3.3
Movie,6.7,74,2,4,547750,3.4
Movie,6.5,90,12,41,1233694,3.9
Movie,6.2,43,1,2,12716953,2.6
Movie,7.3,96,0,0,47818,8.8
Movie,7.4,97,8,9,903018,9
Movie,8.1,91,15,28,4366949,6.3
Movie,7.5,97,9,6,96269,8.1
Movie,5.3,28,1,7,54733739,2
Movie,7.1,97,7,5,1006193,7.4
Movie,7.6,68,0,0,73576146,3.2
Movie,6.8,81,5,11,30316271,3.6
Movie,6.7,89,5,44,16649539,3.7
Movie,7.5,91,10,22,390532085,3.9
Movie,7,90,0,23,140371656,3.9
Movie,5.4,13,3,3,35417038,1.7
Movie,7.9,93,1,10,12281551,3.9
Series,5.3,15,3,1,20497844,1.8
Movie,7.1,79,12,10,6401336,3.8
Movie,6.4,85,1,7,148747,3.6
Movie,7.4,89,16,26,171015687,3.9
Movie,7.6,92,3,5,297195,8.5
Movie,6.8,93,77,116,175084580,4
Movie,6.6,52,18,31,206040086,2.9
Movie,6.5,60,0,11,158874395,3
Movie,7.1,100,0,4,104567,8.2
Movie,6.7,39,0,3,229423,5.8
Movie,7.1,93,11,4,22958886,3.9
Movie,7.1,93,61,103,3448256,4.2
Movie,5.7,57,1,9,54724696,2.8
Series,6.4,54,5,9,182811707,2.7
Movie,7.9,86,4,11,753600,4.1
Movie,6.9,63,5,14,3066100,3.3
Movie,7.2,78,1,11,2223961,3.8
Movie,4.5,33,0,1,48694,6.4
Movie,6.9,40,4,9,125279,2.7
Movie,7.1,80,0,3,286409,3.8
Movie,7.6,90,15,4,1332586,6.5
Movie,6.3,27,7,32,16468499,2.5
Movie,6.2,71,0,4,28148130,3.2
Movie,7.1,83,26,66,27426361,3.8
Movie,6.3,75,1,3,11000000,7.3
Movie,7.6,71,0,9,652592,4.7
Movie,6.6,82,0,5,20056,3.6
Movie,7.4,96,12,13,91881,5.5
Movie,5.2,8,2,0,2872057,1.5
Movie,7.3,96,3,19,424284,6.3
Movie,7.1,73,3,12,24704837,3.4
Movie,5.6,23,0,9,80001807,1.9
Movie,5.5,33,0,2,7518,2.2
Series,6.6,40,3,0,1714,7.5
Movie,7.3,92,137,345,63859435,4.2
Movie,7.6,57,18,35,174340174,3
Movie,6.1,65,1,1,68549695,3
Movie,5.6,83,2,17,21072,3.4
Movie,6.7,88,1,9,1633208,3.8
Movie,6.6,50,0,3,45819713,2.8
Movie,6.8,70,0,3,33447612,3
Movie,4.2,42,0,0,128831,6.1
